Segmentname_old,Unnamed: 0_old,Segmentgruppe_old,Segment_old,Datenelement_old,Segment ID_old,Code_old,Qualifier_old,Beschreibung_old,Bedingungsausdruck_old,Bedingung_old,diff,Segmentname_new,Unnamed: 0_new,Segmentgruppe_new,Segment_new,Datenelement_new,Segment ID_new,Code_new,Qualifier_new,Beschreibung_new,Bedingungsausdruck_new,Bedingung_new
Status der Antwort,43,SG5,STS,9013,00015,,,Code des Prüfschritts,X [17],"[16] Der hier angegebene Code des Prüfschritt muss im EBD dem Cluster Zustimmung zugeordnet sein
[17] Der hier angegebene Code des Prüfschritt muss im EBD dem Cluster Ablehnung zugeordnet sein",,Status der Antwort,43,SG5,STS,9013,00015,,,Code des Prüfschritts,X [17],"[16] Der hier angegebene Code des Prüfschritt muss im EBD dem Cluster Zustimmung zugeordnet sein
[17] Der hier angegebene Code des Prüfschritt muss im EBD dem Cluster Ablehnung zugeordnet sein"
Status der Antwort,44,SG5,STS,1131,00015,E_0218,,EBD Nr. E_0218,X,,,Status der Antwort,44,SG5,STS,1131,00015,E_0218,,EBD Nr. E_0218,X,
Prüfidentifikator,45,SG6,,,,,,,Muss,,,Prüfidentifikator,45,SG6,,,,,,,Muss,
Prüfidentifikator,46,SG6,RFF,,00018,,,,Muss,,,Prüfidentifikator,46,SG6,RFF,,00018,,,,Muss,
Prüfidentifikator,47,SG6,RFF,1153,00018,Z13,,Prüfidentifikator,X,,,Prüfidentifikator,47,SG6,RFF,1153,00018,Z13,,Prüfidentifikator,X,
Prüfidentifikator,48,SG6,RFF,1154,,25002,,Ablehnung Berechnungsformel,X,,,Prüfidentifikator,48,SG6,RFF,1154,,25002,,Ablehnung Berechnungsformel,X,
Referenz Vorgangsnummer (aus Berechnungsformel),49,SG6,,,,,,,Muss,,,Referenz Vorgangsnummer (aus Berechnungsformel),49,SG6,,,,,,,Muss,
Referenz Vorgangsnummer (aus Berechnungsformel),50,SG6,RFF,,00020,,,,Muss,,,Referenz Vorgangsnummer (aus Berechnungsformel),50,SG6,RFF,,00020,,,,Muss,
Referenz Vorgangsnummer (aus Berechnungsformel),51,SG6,RFF,1153,00020,TN,,Transaktions- Referenznummer,X,,,Referenz Vorgangsnummer (aus Berechnungsformel),51,SG6,RFF,1153,00020,TN,,Transaktions- Referenznummer,X,
Referenz Vorgangsnummer (aus Berechnungsformel),52,SG6,RFF,1154,00020,,,Vorgangsnummer,X,,,Referenz Vorgangsnummer (aus Berechnungsformel),52,SG6,RFF,1154,00020,,,Vorgangsnummer,X,
Nachrichten-Endesegment,53,,UNT,,00064,,,,Muss,,,Nachrichten-Endesegment,53,,UNT,,00064,,,,Muss,
Nachrichten-Endesegment,54,,UNT,0074,00064,,,Anzahl der Segmente in einer Nachricht,X,,,Nachrichten-Endesegment,54,,UNT,0074,00064,,,Anzahl der Segmente in einer Nachricht,X,
Nachrichten-Endesegment,55,,UNT,0062,00064,,,Nachrichten-Referenznummer,X,,,Nachrichten-Endesegment,55,,UNT,0062,00064,,,Nachrichten-Referenznummer,X,
